UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"Little too plastic",1,https://v3.fal.media/files/monkey/qVToALZQFm8Xm05ABXNcz.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"Weird movements overall",0,https://v3.fal.media/files/zebra/mgmcK9Ncftud6qWGs5xXX.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Hard to tell but the body orientation reverses at one point",1,https://v3.fal.media/files/zebra/VgNkZLFUa3MHn1MRbcvYN.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"It would have been perfect if it was cyberpunk",1,https://v3.fal.media/files/kangaroo/FHoxMzX3tuimegBd26hJd.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"Little too plastic",1,https://v3.fal.media/files/elephant/NsQp4y-oaw2crILtejM2L.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"It should have broke, not knocked over",1,https://v3.fal.media/files/panda/d_BTGlpJT0GU5JMkDwFkM.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"Good try but the person should have changed as well",1,https://v3.fal.media/files/rabbit/55EjGgIYkxtwQ8aCT6z6Q.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"Nope",0,https://v3.fal.media/files/monkey/NMOUcY9zKXYy4LODfh-MD.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"One too many Cola signs",1,https://v3.fal.media/files/kangaroo/fXPuBBR0p1hzASU6iZ_WM.mp4
