UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"Good",2,https://v3.fal.media/files/zebra/d7zRPMMn5IZRjNJWZ904r.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"It's giving too much Need For Speed",1,https://v3.fal.media/files/koala/K4duO4pfML1zFgP1FoYz8.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Missing movement",1,https://v3.fal.media/files/tiger/dgzKwH1_NebkJcC5Wpt2M.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"Missing steam, missing drone, weird flash at the end",1,https://v3.fal.media/files/panda/Hl7UV1CPzDFHGAmWMKxIU.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"Little too dramatic",1,https://v3.fal.media/files/zebra/Jx2IP_XdiOFi8kkiQrCKF.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"The glass doesn't break but I liked the rest of it",1,https://v3.fal.media/files/zebra/nWjtRLck3lePIF6tEhV8K.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"Good",2,https://v3b.fal.media/files/b/kangaroo/S_lgAYv04DcbvsIYrFI5z_r0F3j28X.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"Very good",2,https://v3.fal.media/files/tiger/UfpCnWfU6r8r5_PcIzlk0.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"Too little movement",1,https://v3.fal.media/files/penguin/4jNpC_6CqyU1OOM56BMeq.mp4
