UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"Way too many people disappear and morph",0,https://v3.fal.media/files/panda/FAj17P18Yr5GRkpoTcuUx_video.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"I didn't ask for driving backwards but I'll take it",1,https://v3.fal.media/files/penguin/8RPiD4-QwWZbYUZEPCLU1_video.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Too spaghetti",0,https://v3.fal.media/files/tiger/CUpSIkjG_QlzsyAOz9TbK_video.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"Too cartoon, gibberish text, no kissing",0,https://v3.fal.media/files/rabbit/ln2bjkHdIiK4nEDPKDq8Q_video.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"Wrong perspective, wrong physics",0,https://v3.fal.media/files/tiger/5JelBWVukilLCtc1Dv-xn_video.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"The glass doesn't break but I liked the rest of it",1,https://v3.fal.media/files/elephant/ILO353_wDatddWO-5TgOK_video.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"Looks like some futuristic electronic mirror, not what I asked for",0,https://v3.fal.media/files/rabbit/lr0m3WVQ_PX66VCSiXy8d_video.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"It's like a 30 sec timelapse",0,https://v3.fal.media/files/lion/Y_w-XJM5eHwmTBHO2NSfG_video.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"Page flips are a little too magical but other than that it's OK",1,https://v3.fal.media/files/panda/76UMHyD9IJeRV0LAZSdFZ_video.mp4
