UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"Good",2,https://v3.fal.media/files/panda/PN5TQVigPzlN5IRVIEtAr.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"Almost there",1,https://v3.fal.media/files/tiger/0OUaiQQUZOQ5CZcWLIK7P.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Missing movement",1,https://v3.fal.media/files/tiger/ucdBkSqg5yOdb0HbvHjw0.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"No kissing, no drone",1,https://v3.fal.media/files/rabbit/m3cTmktLo9dYBU6r7yY4J.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"The sliding container is a little awkward but it works",2,https://v3.fal.media/files/lion/M4YWQ34R5QFfdMNZZlQeJ.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"Pretty good",2,https://v3.fal.media/files/penguin/waqrAgsTMD3oA6g4oGNzk.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"It was perfect until the last second",1,https://v3.fal.media/files/kangaroo/SK5_KRxtnJmrW-d55OR_s.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"Good",2,https://v3.fal.media/files/kangaroo/JxbbyN31-39f9J28Bk8z5.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"Page flips and the Cola sign are awkward",1,https://v3.fal.media/files/kangaroo/you7UoY3FTGBM_OeASCO8.mp4
