UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"OK",1,https://v3.fal.media/files/tiger/O2Zh2rCIlt7KUSxZiqMO9_combined_output.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"Not the minimap",1,https://v3.fal.media/files/elephant/XIeNXzY3B1DnFY3meujIl_combined_output.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Spaghetti",0,https://v3.fal.media/files/panda/pe4QHnH-nTMD4twK4uj3w_combined_output.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"No kissing",1,https://v3.fal.media/files/lion/XUaw3am_1qFTdUmsrD4R1_combined_output.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"Good",2,https://v3.fal.media/files/tiger/v0Ntq4hTGaJcg_OrqTNoY_combined_output.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"Bad breaking effect",1,https://v3.fal.media/files/monkey/cbYyhCtthozNS1_rypiON_combined_output.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"Nope",0,https://v3.fal.media/files/zebra/GykBeRhbPlCNk0Nwt9KnM_combined_output.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"Not the Times Square,1,https://v3.fal.media/files/penguin/ihGX36QXDKQOmFHfpXM1E_combined_output.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"OK",2,https://v3.fal.media/files/koala/4ufeL4WtayYlWJaKKCsL6_combined_output.mp4
