UID,Comment,Point,Link
5b9f7c8a-4f31-11ef-a56a-0242ac120002,"Good",2,https://v3.fal.media/files/panda/yR4Io6jt-m4hVh2PjxCVd_combined_output.mp4
0a37db9c-7d8b-4b6c-bd11-6f0b1c54ab42,"Not the minimap",1,https://v3.fal.media/files/monkey/XK7m5rRGigH85j7HAI2V8_combined_output.mp4
c0e41877-94fc-4de9-b86c-43d4ed01fdc8,"Spaghetti",0,https://v3.fal.media/files/penguin/b0EPdwYRu8DxGsK5Z89EZ_combined_output.mp4
f6a8b4a9-b01e-445e-bd22-9f0f929f1a91,"No kissing",1,https://v3.fal.media/files/rabbit/TFUc2voOwXreogI-GKUbq_combined_output.mp4
1d7a2b8e-26a1-41cf-a2c2-0d38f1c012b9,"Too dramatic",1,https://v3.fal.media/files/panda/UvKT8LLG66KD4Vq44TNfP_combined_output.mp4
6bc5b71b-8f0d-4c19-9e0a-61cecc13c714,"Bad breaking effect",1,https://v3.fal.media/files/rabbit/xdXYUj8CBcllGLPyQZQFj_combined_output.mp4
e0c8e5d7-b35a-46b5-8b26-93de6a89cda2,"Nope",0,https://v3.fal.media/files/zebra/UMSX3Tfl3Du4YXxs_6Ctx_combined_output.mp4
3b9a92c1-64b9-4c33-9683-dfdbbb50d718,"Not the Times Square,1,https://v3.fal.media/files/lion/HHK3nUFiPYyMl7D33HKbk_combined_output.mp4
8a44b6a2-66fb-4a56-b54a-413f2b8cb15a,"OK",2,https://v3.fal.media/files/kangaroo/XD5Nz8n2CjXM0OAjJubLa_combined_output.mp4
